Lat,Long,Type,Count,State
42.7017233649824,23.288090279981,1100,3,ДОБРО,
42.6946105687512,23.2928035816525,1100,2,ДОБРО,
42.6958634123483,23.2655028834838,110,16,ДОБРО,
42.6908106108491,23.2674909301802,110,1,ДОБРО,
42.701296623304,23.2872036634269,1100,5,ДОБРО,
42.7012726815274,23.2953207849539,1100,2,ДОБРО,
42.7017526430771,23.2859884126593,1100,3,ДОБРО,
42.6954865172346,23.2833905450531,1100,3,ДОБРО,
42.7014523994478,23.2759170803806,1100,2,ДОБРО,
42.6963217357701,23.268030062333,110,2,ДОБРО,
42.7010313589826,23.2884523036843,1100,2,ДОБРО,
42.7014056182836,23.294934666769,1100,2,ДОБРО,
42.7015410193564,23.2893099841365,1100,3,ДОБРО,
42.7031792380557,23.2831650100826,1100,2,ДОБРО,
42.701339891833,23.2904330758148,1100,3,ДОБРО,
42.6984850512442,23.2849375763317,1100,2,ДОБРО,
42.7056146476509,23.2787190334738,1100,3,ДОБРО,
42.6959004823295,23.2766362940518,110,1,ДОБРО,
42.7055273562588,23.2839354222632,1100,4,ДОБРО,
42.686489921913,23.2746915296104,1100,2,ДОБРО,
42.700844421525,23.2738627121729,1100,2,ДОБРО,
42.6931490167244,23.2598569635305,110,2,ДОБРО,
42.6925953174544,23.278554818138,1100,2,ДОБРО,
42.703156900549,23.2834727839443,1100,2,ДОБРО,
42.6964903951332,23.2710485156218,110,2,ДОБРО,
42.7020504088305,23.2786821688222,1100,2,ДОБРО,
42.6876435867265,23.2320982456858,1100,1,ДОБРО,
42.7029985220147,23.2784881142863,1100,2,ДОБРО,
42.6951515700965,23.2813520379432,1100,3,ДОБРО,
42.6950923081891,23.2653065530248,110,1,ДОБРО,
42.7029535447283,23.281007554567,1100,2,ДОБРО,
42.6931848965326,23.2596382756326,1100,1,ДОБРО,
42.6968515480541,23.2852764754737,1100,2,ДОБРО,
42.7030056924008,23.2817930610771,1100,1,ДОБРО,
42.7033112833324,23.2758398036485,1100,2,ДОБРО,
42.696704616299,23.2702604146607,110,1,ДОБРО,
42.7023080541536,23.276000817053,1100,2,ДОБРО,
42.6965487688389,23.2867220981826,1100,4,ДОБРО,
42.7043867262047,23.279228091889,1100,2,ДОБРО,
42.7029952355585,23.2774536004947,1100,2,ДОБРО,
42.7063407028529,23.2804381508282,1100,2,ДОБРО,
42.7019268213523,23.2777523083029,1100,3,ДОБРО,
42.6968675962354,23.272044287044,110,3,ДОБРО,
42.7026793342004,23.2833075065115,1100,3,ДОБРО,
42.6963249903853,23.2709348240091,110,2,ДОБРО,
42.7024405905429,23.2825814505785,1100,3,ДОБРО,
42.6947988304721,23.2655435256664,110,1,ДОБРО,
42.7023026241302,23.2816109619155,1100,2,ДОБРО,
42.7021448473383,23.2802101910561,1100,1,ДОБРО,
42.6976572016271,23.2719347185319,110,1,ДОБРО,
42.6954363064287,23.25247904542,1100,2,ДОБРО,
42.7051190582548,23.2755210869388,1100,1,ДОБРО,
42.6942486159057,23.2813266459231,1100,2,ДОБРО,
