Lat,Long,Type,Count,State
42.6731175188702,23.315953432623,1100,3,ДОБРО,
42.6728986682389,23.3123865995934,1100,1,ДОБРО,
42.6804756843505,23.3244777473021,1100,1,ДОБРО,
42.6727642572161,23.3183649799023,1100,2,ДОБРО,
42.6826655906319,23.3256775540244,1100,1,ДОБРО,
42.6667327935659,23.3150892253167,1100,1,ДОБРО,
42.6818004674746,23.3271330769797,1100,1,ДОБРО,
42.6593737240488,23.3175875899386,1100,2,ДОБРО,
42.6338243362006,23.3321807889536,1100,1,ДОБРО,
42.6800140830103,23.3254090177078,1100,1,ДОБРО,
42.6691009585601,23.322860969299,1100,2,ДОБРО,
42.6825181111588,23.3256721089586,1100,1,ДОБРО,
42.6650329909088,23.3192659283229,1100,10,ДОБРО,
42.6795918412239,23.3249496295116,1100,2,ДОБРО,
42.6811960130401,23.3218781365865,1100,1,ДОБРО,
42.6772417231879,23.3185937339682,1100,1,ДОБРО,
42.6693931321029,23.3294376039458,1100,2,ДОБРО,
42.6839103454281,23.3258819347635,1100,1,ДОБРО,
42.6661931522593,23.3152323940748,110,3,ДОБРО,
42.6793701276533,23.3244308172695,1100,3,ДОБРО,
42.6774302460647,23.322194180653,1100,2,ДОБРО,
42.6842314240553,23.3266561427963,1100,3,ДОБРО,
42.6756491500773,23.3291334633124,1100,1,ДОБРО,
42.668445826744,23.3245021701987,1100,1,ДОБРО,
42.683900800608,23.3259047381511,1100,3,ДОБРО,
42.6796408324282,23.321891673487,1100,2,ДОБРО,
42.6723584188082,23.3325621250575,1100,2,ДОБРО,
42.6731123080258,23.3176516465615,1100,3,ДОБРО,
42.673921380455,23.3178148339069,1100,2,ДОБРО,
42.6775299799042,23.3191923268192,1100,1,ДОБРО,
42.6813460657797,23.3220814313033,1100,2,ДОБРО,
42.6778904406552,23.3214924986119,1100,2,ДОБРО,
42.6782924486062,23.3212221493131,1100,3,ДОБРО,
42.6721834191882,23.3235410637148,1100,2,ДОБРО,
42.6701964084119,23.3291696633227,1100,1,ДОБРО,
42.6788146267577,23.3251713769585,1100,2,ДОБРО,
42.6654194290374,23.3186335493677,1100,2,ДОБРО,
42.6774533401907,23.3190111804573,1100,1,ДОБРО,
42.6619210865627,23.3150608448354,1100,3,ДОБРО,
42.662604346961,23.3221221336085,1100,2,ДОБРО,
42.6499289265184,23.3287652376304,1100,3,ДОБРО,
42.6825292344216,23.327776335664,1100,3,ДОБРО,
42.6784961073604,23.3251233320205,1100,1,ДОБРО,
42.6775444805453,23.333946347729,1100,1,ДОБРО,
42.6788667811583,23.3256517531354,1100,1,ДОБРО,
42.6819544188924,23.3254241402326,1100,2,ДОБРО,
42.6788408454915,23.325794253083,1100,1,ДОБРО,
42.6781404425988,23.3248896829262,1100,2,ДОБРО,
42.6848919640706,23.3305737997494,1100,3,ДОБРО,
42.6778437505501,23.3305238418939,1100,1,ДОБРО,
42.6802495975688,23.3278737403466,1100,1,ДОБРО,
42.6796524743742,23.3231654538011,1100,1,ДОБРО,
42.6782763081883,23.3242280578315,1100,1,ДОБРО,
