Lat,Long,Type,Count,State
42.773758482507,23.3175989520973,120,1,ДОБРО,
42.7345600221498,23.2937714725091,110,2,ДОБРО,
42.7224461272616,23.3032684011506,110,1,ДОБРО,
42.7727387517436,23.3114545544458,240,1,ДОБРО,
42.7727814005029,23.3151172346878,120,1,ДОБРО,
42.7220412548506,23.3008999771234,110 – СГУРИЯ,1,ДОБРО,
42.7733672265511,23.3146072103697,110,1,ДОБРО,
42.7542637967946,23.3190607708401,120,1,ДОБРО,
42.7335902468348,23.2930257093293,1100,3,ДОБРО,
42.7537296326857,23.3156835784995,110,2,ДОБРО,
42.7736453131778,23.3145626756981,110,1,ДОБРО,
42.7339066754879,23.2923395405928,1100,6,ДОБРО,
42.7521491679921,23.318714870359,110,2,ДОБРО,
42.7729052849984,23.3113407802775,110,3,ДОБРО,
42.7728196442867,23.3156592845208,110,2,ДОБРО,
42.7221032067159,23.3010170911573,110,1,ДОБРО,
42.7487521643442,23.3168569977635,120,2,ДОБРО,
42.7210566595966,23.3039466794475,110,2,ДОБРО,
42.7283529633532,23.3033253685801,120,1,ДОБРО,
42.7515219805016,23.3201723505,110,1,ДОБРО,
42.7329460271471,23.2896592678051,1100,3,ДОБРО,
42.7324038038641,23.2986804906567,120,1,ДОБРО,
42.7306698491048,23.2967300662802,110,1,ДОБРО,
42.7349443120582,23.293593558176,1100,3,ДОБРО,
42.7714027784422,23.3167812807038,240,1,ДОБРО,
42.7289743762539,23.301801778817,120,1,ДОБРО,
42.7345385969681,23.2940986010151,1100,1,ДОБРО,
42.7736242382138,23.3145940476958,240,1,ДОБРО,
42.7495073480189,23.3140314541803,120,3,ДОБРО,
42.7232124952394,23.3050853111897,110,1,ДОБРО,
42.7729566420032,23.3110742575377,120,1,ДОБРО,
42.7221148717261,23.3010359558053,110 – СГУРИЯ,1,ДОБРО,
42.7397553356267,23.3088700708818,1100,2,ДОБРО,
42.751591019998,23.3137681488971,110,1,ДОБРО,
42.7737593973396,23.3145923990644,110,2,ДОБРО,
42.7334696375108,23.2941376747406,1100,2,ДОБРО,
42.7236727757991,23.2957020033423,1100,2,ДОБРО,
42.7278141756241,23.2981723339568,1100,1,ДОБРО,
42.7741678943723,23.3141010063955,120,2,ДОБРО,
42.7518772280152,23.3159432830928,120,2,ДОБРО,
42.7487474190312,23.3168474673631,240,1,ДОБРО,
42.7210014776916,23.3057999092314,110,1,ДОБРО,
42.7294590759814,23.3004444885703,110,1,ДОБРО,
42.7402605243189,23.3170758083293,1100,3,ДОБРО,
42.7353054355233,23.2965938609298,120,1,ДОБРО,
42.7516765734021,23.3201835636434,240,1,ДОБРО,
42.7334175477384,23.2906199330266,1100,3,ДОБРО,
42.7209633919106,23.3047882181839,110,1,ДОБРО,
42.7387567728996,23.315950912055,1100,1,ДОБРО,
