Lat,Long,Type,Count,State
42.7062911620338,23.3090630560578,1100,2,ДОБРО,
42.7060258950844,23.3239004589216,1100,1,ДОБРО,
42.7250372377435,23.3332180087453,110,2,ДОБРО,
42.7240623828261,23.3360860966662,110,1,ДОБРО,
42.7264935404291,23.3470860987586,1100,1,ДОБРО,
42.7244293085575,23.3351189803386,110,2,ДОБРО,
42.7320538156338,23.3406670928777,110,1,ДОБРО,
42.7075627579699,23.3194860752196,1100,1,ДОБРО,
42.7341283815762,23.3478680612974,240,3,ДОБРО,
42.7124286252275,23.3455976833418,110,1,ДОБРО,
42.712814412542,23.3434412738662,110,1,ДОБРО,
42.7068149727287,23.3157640731664,1100,2,ДОБРО,
42.7073063071157,23.3267563675782,1100,1,ДОБРО,
42.7216628870712,23.3443287330163,110,1,ДОБРО,
42.7065016225406,23.3140722632653,1100,1,ДОБРО,
42.7059369604612,23.3337495877401,1100,1,ДОБРО,
42.7449944291296,23.3511520903154,110,2,ДОБРО,
42.7248411169106,23.3351459587623,110,2,ДОБРО,
42.722789838332,23.3461415726276,110,3,ДОБРО,
42.7116580876483,23.3153983961024,1100,3,ДОБРО,
42.7071485793954,23.3348514517491,1100,2,ДОБРО,
42.7282960673034,23.3350857588535,1100,1,ДОБРО,
42.7179421407973,23.3390869248271,110,1,ДОБРО,
42.7227064711727,23.339860024457,110,2,ДОБРО,
42.7166376981632,23.3516409804563,110,1,ДОБРО,
42.7156155949709,23.3448307485311,110,2,ДОБРО,
42.7049210932583,23.3270268447198,1100,2,ДОБРО,
42.7068799932723,23.3194463697252,1100,3,ДОБРО,
42.7351410639266,23.3468187662411,110,1,ДОБРО,
42.725020961799,23.3326742189883,110,2,ДОБРО,
42.7143010204635,23.30261819687,1100,1,ДОБРО,
42.7215083215472,23.3317964452656,110,1,ДОБРО,
42.7351486285579,23.3392783514276,110,4,ДОБРО,
42.7237592234511,23.3392331045181,110,1,ДОБРО,
42.7062544350047,23.3094665227613,1100,1,ДОБРО,
42.7119470211474,23.3084826094633,1100,2,ДОБРО,
42.72420430083,23.3390052223943,110,3,ДОБРО,
42.7062369896458,23.3098574167727,1100,1,ДОБРО,
42.7061807374888,23.310467871357,1100,1,ДОБРО,
42.7227009197954,23.3337393683653,110,1,ДОБРО,
42.7167293452954,23.349147738566,110,2,ДОБРО,
42.7236786602842,23.3369420819859,110,1,ДОБРО,
42.7068512931389,23.3098736680242,1100,2,ДОБРО,
42.7436201134863,23.3501915719583,110,2,ДОБРО,
42.7252881397116,23.3458184780282,110,1,ДОБРО,
42.7068460236427,23.310128552981,1100,1,ДОБРО,
42.7185100788347,23.3375086825544,110,1,ДОБРО,
42.7253982087602,23.3422636972507,240,2,ДОБРО,
42.7227804121247,23.3458454748609,110,1,ДОБРО,
42.7073661434606,23.3133630560287,1100,3,ДОБРО,
42.7061660311303,23.3108212086711,1100,1,ДОБРО,
42.7142697999902,23.3424617808945,110,1,ДОБРО,
42.7238953667079,23.33699003052,240,2,ДОБРО,
42.7412089496682,23.3448774627288,110,2,ДОБРО,
42.7146321153445,23.3496583326618,110,1,ДОБРО,
42.7071092503195,23.3144997638829,1100,2,ДОБРО,
42.7123642113955,23.3435891352212,1100,2,ДОБРО,
42.7214439186602,23.3310788511447,110,1,ДОБРО,
42.7063516406089,23.3080433975091,1100,1,ДОБРО,
42.7450212955838,23.3510468389028,110,2,ДОБРО,
42.7359055954702,23.3404591009568,240,1,ДОБРО,
42.7216964908378,23.328879242919,110,1,ДОБРО,
42.7247724620181,23.3384745988226,110,1,ДОБРО,
42.7128627982876,23.3459640182681,240,1,ДОБРО,
42.7206118862779,23.3347721279117,110,2,ДОБРО,
42.7063256645341,23.3083606314096,1100,1,ДОБРО,
42.7281281657359,23.3414957442979,110,2,ДОБРО,
42.7123420371094,23.3470972395583,240,1,ДОБРО,
42.7061476474559,23.311084360577,1100,1,ДОБРО,
42.7287065945962,23.3428232081744,110,2,ДОБРО,
42.7372213374195,23.3505831015933,1100,1,ДОБРО,
42.7080737522478,23.3232697039217,1100,2,ДОБРО,
42.7063861375205,23.3075934854175,1100,1,ДОБРО,
42.7282616937119,23.341685750321,110,2,ДОБРО,
42.7075846512504,23.3234034251053,1100,2,ДОБРО,
42.7065678093627,23.3224159118973,1100,2,ДОБРО,
42.7209654536071,23.3327828322599,240,1,ДОБРО,
42.7229588618818,23.3483913063375,110,4,ДОБРО,
42.7461661897303,23.3511983363616,110,1,ДОБРО,
42.7369868415419,23.3410779381065,110,1,ДОБРО,
42.7194310933211,23.3373696305237,110,1,ДОБРО,
42.714050185341,23.349610736904,240,1,ДОБРО,
42.7074773848362,23.3178843174211,1100,1,ДОБРО,
42.7483097044859,23.350705732074,110,4,ДОБРО,
42.7064523824553,23.3061270419822,1100,1,ДОБРО,
42.7221570496831,23.3416520224616,110,2,ДОБРО,
42.7229111075823,23.3322218899087,110,3,ДОБРО,
42.7068911959845,23.306706495108,1100,2,ДОБРО,
42.7233069319007,23.3361916549976,110,1,ДОБРО,
42.7145099797728,23.3416730835608,1100,3,ДОБРО,
42.7366044631726,23.344654758322,240,1,ДОБРО,
42.7092743077159,23.3326690997602,1100,1,ДОБРО,
42.7431798465965,23.3462558209213,1100,1,ДОБРО,
42.7237173805511,23.318964382106,1100,1,ДОБРО,
42.7075133313024,23.3167035102138,1100,2,ДОБРО,
42.7390258871185,23.332655537035,1100,1,ДОБРО,
42.7193179517485,23.341051816034,110,1,ДОБРО,
42.7136349199268,23.3454417114633,1100,1,ДОБРО,
42.706943557342,23.3070265145132,1100,2,ДОБРО,
42.7056128692,23.3253752450597,1100,3,ДОБРО,
42.7249246358332,23.3309503235233,110,2,ДОБРО,
42.7359015556591,23.3468466097183,110,1,ДОБРО,
42.7227127526774,23.3378802286503,110,1,ДОБРО,
42.707995292491,23.3300016890164,1100,1,ДОБРО,
42.7195963276608,23.339768522982,110,1,ДОБРО,
42.7094580456603,23.3279401464112,1100,10,ДОБРО,
42.7352997807244,23.3404602220573,110,2,ДОБРО,
42.7262320617839,23.3370424375734,240,1,ДОБРО,
42.7198062761195,23.3375777729729,110,1,ДОБРО,
42.7215087665293,23.3324518637066,110,1,ДОБРО,
42.7069490262149,23.3077727148717,1100,2,ДОБРО,
42.7068694817118,23.3089379952599,1100,4,ДОБРО,
42.7355494442886,23.3432611958295,110,2,ДОБРО,
42.7278239669796,23.3400587939477,240,3,ДОБРО,
42.7072343105943,23.319461792938,1100,1,ДОБРО,
42.716733500879,23.3499443451336,110,4,ДОБРО,
42.7250937963971,23.3373856934518,110,1,ДОБРО,
42.7069101404951,23.3056249934678,1100,2,ДОБРО,
42.7337562409398,23.3436211951629,110,2,ДОБРО,
42.7267230198081,23.3373556855679,240,1,ДОБРО,
42.7214842387819,23.3338639339655,110,4,ДОБРО,
42.7073811939715,23.3229759636858,1100,2,ДОБРО,
42.7354225020903,23.3325049450503,1100,1,ДОБРО,
42.7067851239576,23.310976618559,1100,2,ДОБРО,
42.7251921376246,23.3424657078824,110,2,ДОБРО,
42.7444145146641,23.3497358606007,110,2,ДОБРО,
42.7232337626312,23.3401880693164,110,1,ДОБРО,
42.7261487278723,23.3454994773057,110,2,ДОБРО,
42.7202303126344,23.3429545309199,110,1,ДОБРО,
42.705874392147,23.3148812665615,1100,1,ДОБРО,
42.7221933344998,23.3311771143308,110,1,ДОБРО,
42.7143072812766,23.3489716632758,110,1,ДОБРО,
42.7281352816731,23.3391297330928,110,1,ДОБРО,
42.7114490676895,23.323355642167,1100,5,ДОБРО,
42.706707658971,23.3120520705992,1100,2,ДОБРО,
42.7187009001078,23.3371509014332,110,1,ДОБРО,
42.7250220985,23.34261650737,110,2,ДОБРО,
42.7444646382183,23.3494462534693,110,2,ДОБРО,
42.7263089159947,23.345494849611,110,1,ДОБРО,
42.7150421845892,23.3414701296577,110,1,ДОБРО,
42.7216854158267,23.3302937707224,110,1,ДОБРО,
42.7102997400287,23.3321203046081,1100,1,ДОБРО,
42.7288093605348,23.3191348874736,1100,1,ДОБРО,
42.7225736285732,23.3343537987233,110,1,ДОБРО,
42.7282054890314,23.3430100056855,110,1,ДОБРО,
42.718019988837,23.338452790996,240,2,ДОБРО,
42.7069694154873,23.3180506173814,1100,1,ДОБРО,
42.7258859091889,23.3421474237736,110,2,ДОБРО,
42.7071815182689,23.3123401593076,1100,2,ДОБРО,
42.7203542874627,23.3313997841058,110,2,ДОБРО,
42.7448070173317,23.3490341532609,110,2,ДОБРО,
42.7064030072859,23.3257126048263,1100,1,ДОБРО,
42.7062318325318,23.3193308249687,1100,1,ДОБРО,
42.7365159338456,23.3398686086373,240,1,ДОБРО,
42.7234625243119,23.3391343485755,110,1,ДОБРО,
42.7149080118055,23.3465070825129,110,2,ДОБРО,
42.710192684548,23.3115262604644,1100,2,ДОБРО,
