Lat,Long,Type,Count,State
42.693050074955,23.3191224099638,1100,3,ДОБРО,
42.6579426277923,23.2985694350104,1100,1,ДОБРО,
42.674876295391,23.2989255309705,1100,2,ДОБРО,
42.6952739650867,23.3172166031545,1100,4,ДОБРО,
42.6706843362367,23.2950281015017,1100,2,ДОБРО,
42.6503039964194,23.2966250756385,120,2,ДОБРО,
42.6919738379364,23.3173730954172,1100,3,ДОБРО,
42.6558847069949,23.3101978815906,120,1,ДОБРО,
42.692696829203,23.3149206597446,1100,1,ДОБРО,
42.6903415836507,23.3143277385432,1100,2,ДОБРО,
42.6929672870808,23.3177276799329,1100,2,ДОБРО,
42.6519179793729,23.2914964244876,120,2,ДОБРО,
42.6520172669854,23.3082825352179,120,2,ДОБРО,
42.6924153848953,23.3148565678606,1100,2,ДОБРО,
42.6622919301576,23.2900253728363,1100,2,ДОБРО,
42.6713425154227,23.3025557466681,1100,2,ДОБРО,
42.6945921425333,23.3157827039028,1100,2,ДОБРО,
42.6876468479965,23.3117284619561,1100,1,ДОБРО,
42.6523771759179,23.3099096257224,120,2,ДОБРО,
42.6559618677861,23.2977650722804,1100,2,ДОБРО,
42.6923356066836,23.3188531416699,1100,3,ДОБРО,
42.6591804943088,23.2856704201527,1100,2,ДОБРО,
42.6909659306443,23.3157984841974,1100,2,ДОБРО,
42.6736416650749,23.2976874908165,1100,2,ДОБРО,
42.6498621135735,23.3096184762249,120,1,ДОБРО,
42.6881412979765,23.3186037477528,1100,2,ДОБРО,
42.6685454548597,23.3013984840728,1100,2,ДОБРО,
42.6525431386369,23.2933724557974,120,1,ДОБРО,
42.6916988718828,23.3146727053714,1100,3,ДОБРО,
42.6920600557623,23.3147306391548,1100,2,ДОБРО,
42.6913869653157,23.318574404335,1100,3,ДОБРО,
42.672670423807,23.3035885302648,1100,1,ДОБРО,
42.6885674601767,23.3148900694709,1100,4,ДОБРО,
42.6662852595725,23.2945270825098,1100,1,ДОБРО,
42.6556293460259,23.3076243279365,120,3,ДОБРО,
42.6910903732928,23.3145235527714,1100,2,ДОБРО,
42.6550620730067,23.3103674602113,120,5,ДОБРО,
42.6739243341081,23.2988132140039,1100,3,ДОБРО,
42.6913502073291,23.314606069539,1100,2,ДОБРО,
42.6858327157864,23.3153400861747,1100,2,ДОБРО,
42.6911797301592,23.3171943527502,1100,3,ДОБРО,
42.69180114957,23.3185364601209,1100,3,ДОБРО,
42.6601454707911,23.301480212452,1100,2,ДОБРО,
42.6508376641024,23.296671896675,120,1,ДОБРО,
42.6933280399034,23.3163470868877,1100,2,ДОБРО,
42.6620615451973,23.3033708851898,1100,2,ДОБРО,
42.6914609624663,23.3160206433539,1100,1,ДОБРО,
42.6961235437285,23.3187401268703,1100,2,ДОБРО,
42.6921734693069,23.3162419134676,1100,3,ДОБРО,
42.6558974443895,23.3018032588884,120,1,ДОБРО,
42.6700308898185,23.299314245439,1100,2,ДОБРО,
42.6908244240853,23.3144417778877,1100,2,ДОБРО,
42.6941976040962,23.3154967677709,1100,3,ДОБРО,
42.6931795883565,23.3165388741291,1100,2,ДОБРО,
42.6892971614113,23.3150160661597,1100,2,ДОБРО,
42.6899116131211,23.314229378908,1100,2,ДОБРО,
42.6550106476033,23.2844625877964,1100,1,ДОБРО,
42.6941952249143,23.3187355421152,1100,2,ДОБРО,
42.6894269770602,23.3147473419491,1100,1,ДОБРО,
42.6887490294376,23.3130596298418,1100,1,ДОБРО,
42.6688614684391,23.3024817304829,1100,3,ДОБРО,
