Lat,Long,Type,Count,State
42.7032997707827,23.3014243563356,3000,1,ДОБРО,
42.6940833767703,23.3004487173316,1100,1,ДОБРО,
42.702260184033,23.3160187321796,3000,1,ДОБРО,
42.7032666059565,23.2986510342565,1100,2,ДОБРО,
42.6928051194995,23.2962623601596,1100,1,ДОБРО,
42.7019036812662,23.3181515892524,1100,3,ДОБРО,
42.6997396627331,23.3012176022869,1100,2,ДОБРО,
42.7031009988426,23.3168533997661,1100,2,ДОБРО,
42.6976588399117,23.2995312333109,3000,1,ДОБРО,
42.7050518659815,23.318194231632,1100,1,ДОБРО,
42.7022155388956,23.3126922489666,1100,1,ДОБРО,
42.7039076080332,23.314101182169,1100,1,ДОБРО,
42.6987292141242,23.301951596559,1100,2,ДОБРО,
42.701597403951,23.3114621506743,1100,1,ДОБРО,
42.6981997895694,23.2977422564928,1100,1,ДОБРО,
42.7029737414248,23.3115514338977,3000,1,ДОБРО,
42.6944943752717,23.3013928155644,1100,2,ДОБРО,
42.7018689565868,23.3185154731663,1100,2,ДОБРО,
42.704110393165,23.3151435873039,1100,2,ДОБРО,
42.701864638677,23.3204448293975,1100,1,ДОБРО,
42.7014200327142,23.3047530579267,3000,1,ДОБРО,
42.7028309031621,23.3125761236382,1100,2,ДОБРО,
42.7024906152105,23.3193485936992,1100,1,ДОБРО,
42.7015745235015,23.3202403243337,1100,3,ДОБРО,
42.6976509076916,23.316095533917,3000,2,ДОБРО,
42.7025561199956,23.321861167115,1100,2,ДОБРО,
42.7016846357153,23.3164023361417,1100,1,ДОБРО,
42.7028739067992,23.3079287060592,1100,2,ДОБРО,
42.7015815849599,23.312560445539,1100,2,ДОБРО,
42.7035421424859,23.3149981741485,1100,2,ДОБРО,
42.6945549545717,23.2997543974477,1100,2,ДОБРО,
42.7015673796274,23.3075982890489,1100,2,ДОБРО,
42.7015587261023,23.3018155782116,1100,2,ДОБРО,
42.7024701478658,23.3146209969671,1100,2,ДОБРО,
42.7028001243943,23.3184870232729,1100,2,ДОБРО,
42.6971760472273,23.3191037225629,3000,2,ДОБРО,
42.7019072021053,23.3167366694735,1100,2,ДОБРО,
42.7026116306049,23.3206306181816,1100,3,ДОБРО,
42.6933951497087,23.2959969620487,1100,4,ДОБРО,
42.7019229859869,23.3154530713945,1100,1,ДОБРО,
42.7021406064291,23.3174967605068,1100,2,ДОБРО,
42.7017877886678,23.3135382756758,1100,2,ДОБРО,
42.7038332471716,23.3112936642795,1100,2,ДОБРО,
42.701734075734,23.3144811816332,1100,2,ДОБРО,
42.7037393259665,23.2983691585658,1100,1,ДОБРО,
42.7019434652264,23.3108362555311,1100,2,ДОБРО,
42.6937559241397,23.3045335863699,1100,4,ДОБРО,
42.7022725247759,23.3109380373093,1100,2,ДОБРО,
42.6975534432236,23.315752899924,3000,2,ДОБРО,
42.7018854382947,23.3057798033674,1100,2,ДОБРО,
42.7054042870879,23.307711345198,1100,2,ДОБРО,
42.7019228161853,23.3063239603175,1100,1,ДОБРО,
42.7039981148838,23.3121729386178,1100,2,ДОБРО,
42.6911273818413,23.2966491804623,1100,1,ДОБРО,
42.704201705378,23.3189014434703,1100,2,ДОБРО,
42.702598400105,23.3078751209959,1100,1,ДОБРО,
42.6902905276401,23.2911839360215,1100,2,ДОБРО,
42.7035142649982,23.3194311967946,1100,4,ДОБРО,
42.6954161841541,23.3018265763182,1100,2,ДОБРО,
42.7025682953721,23.3169095658189,1100,1,ДОБРО,
42.6980818051331,23.2999072690369,3000,1,ДОБРО,
42.7041945925716,23.3171469415633,1100,1,ДОБРО,
42.7030881466722,23.3062016365756,1100,2,ДОБРО,
42.6967160644518,23.3032909974461,1100,5,ДОБРО,
42.6990072841608,23.3164135026673,1100,2,ДОБРО,
42.7040784569831,23.3159703164385,1100,1,ДОБРО,
42.7006671778232,23.2984114803161,1100,1,ДОБРО,
42.7038034734249,23.3170475781585,1100,1,ДОБРО,
42.7041573808973,23.3152457985604,1100,1,ДОБРО,
42.7037025835827,23.3234137768284,3000,1,ДОБРО,
42.7038519868254,23.3172923364357,1100,1,ДОБРО,
42.7025619584322,23.3059873201506,1100,1,ДОБРО,
42.7029473189896,23.3230368726544,1100,1,ДОБРО,
42.6983864586385,23.2997627770283,3000,1,ДОБРО,
42.7031078263175,23.3220964608191,1100,3,ДОБРО,
42.7018000464733,23.2997873343152,1100,3,ДОБРО,
42.7037092259876,23.3181654779049,1100,2,ДОБРО,
